keyword,value,number
visual,199,1
analysis,105,2
analytics,98,3
data,78,4
visualization,55,5
interactive,53,6
exploration,34,7
social,21,8
approach,19,9
vast,18,10
challenge,15,11
large,15,12
network,15,13
system,14,14
analytic,13,15
exploring,13,16
information,13,17
award,12,18
collaborative,12,19
